Id,SalePrice
1461,79838.734
1462,464424.84
1463,163642.27
1464,171986.31
1465,194612.34
1466,179285.94
1467,117292.96
1468,168249.9
1469,183035.1
1470,107627.17
1471,96054.57
1472,96553.984
1473,100461.52
1474,116047.35
1475,113790.914
1476,301888.6
1477,234506.6
1478,247426.9
1479,254459.55
1480,421472.4
1481,306585.84
1482,192859.31
1483,177094.0
1484,162952.4
1485,214639.38
1486,200007.05
1487,247864.5
1488,246859.7
1489,177293.3
1490,226333.22
1491,196651.92
1492,87490.375
1493,124969.56
1494,347232.94
1495,264552.3
1496,222985.42
1497,146361.84
1498,114963.914
1499,107235.914
1500,126555.52
1501,216163.53
1502,135444.73
1503,187094.62
1504,248832.03
1505,218983.55
1506,195625.34
1507,247538.66
1508,179337.2
1509,153352.95
1510,149358.34
1511,127084.336
1512,152957.3
1513,141430.97
1514,99699.305
1515,169422.52
1516,139091.77
1517,152982.27
1518,156674.31
1519,166759.98
1520,99005.74
1521,129302.21
1522,195638.88
1523,111692.15
1524,156230.98
1525,96338.56
1526,148635.47
1527,176248.05
1528,93431.52
1529,145371.78
1530,115957.8
1531,126023.836
1532,65908.79
1533,153930.55
1534,123580.664
1535,116738.016
1536,118046.96
1537,59182.28
1538,109089.58
1539,204986.58
1540,74407.64
1541,148867.55
1542,73840.8
1543,170809.75
1544,61788.375
1545,89216.55
1546,154179.66
1547,72462.33
1548,115527.69
1549,105573.3
1550,122285.77
1551,128788.02
1552,120996.06
1553,125390.016
1554,123165.67
1555,197702.28
1556,56213.438
1557,70390.68
1558,98858.914
1559,57562.523
1560,81370.67
1561,68481.516
1562,115092.05
1563,149472.03
1564,132174.14
1565,118091.17
1566,194246.69
1567,108962.56
1568,205028.47
1569,121314.14
1570,168541.22
1571,101562.016
1572,149118.1
1573,169863.9
1574,103714.445
1575,147006.78
1576,218907.78
1577,157270.05
1578,172080.34
1579,86449.3
1580,176330.0
1581,137644.64
1582,123579.33
1583,254909.25
1584,214328.5
1585,128470.61
1586,45302.844
1587,113481.0
1588,164781.7
1589,82595.79
1590,129668.58
1591,95450.305
1592,92503.33
1593,171840.62
1594,25084.33
1595,128969.17
1596,157520.17
1597,173317.17
1598,199650.12
1599,155578.88
1600,140820.39
1601,55290.562
1602,110800.27
1603,49269.04
1604,192537.16
1605,247225.62
1606,108256.02
1607,151658.72
1608,193474.25
1609,184937.45
1610,165468.53
1611,139311.78
1612,160264.36
1613,167499.97
1614,111475.164
1615,89796.21
1616,90778.0
1617,90493.52
1618,94678.25
1619,147179.75
1620,96560.195
1621,120734.39
1622,130566.1
1623,190020.78
1624,188317.62
1625,131197.36
1626,165612.17
1627,179429.39
1628,286015.84
1629,146366.89
1630,371838.6
1631,326298.1
1632,251400.75
1633,186748.98
1634,178565.1
1635,181979.6
1636,143811.9
1637,147876.56
1638,198399.53
1639,165290.9
1640,285207.56
1641,192946.56
1642,190185.16
1643,177048.27
1644,199338.92
1645,140860.03
1646,127379.9
1647,159042.25
1648,131776.08
1649,143908.58
1650,109988.25
1651,81670.055
1652,109468.44
1653,98423.5
1654,134453.22
1655,138902.62
1656,137387.53
1657,174910.3
1658,151682.38
1659,142168.7
1660,137680.97
